"trial","word","ink","cond","corr","rt","ID","coat","wordRepeat","inkRepeat","AGCond","LastCond","location"
1,"BLUE","blue","congruent",1,466.977672419,1,"n","n","n","Neu",NA,1
2,"BLUE","blue","congruent",1,433.448002441,1,"n","y","y","Neu","Neu",1
3,"RED","red","congruent",1,697.261553025,1,"n","n","n","Neu","Neu",1
4,"BLUE","red","incongruent",1,567.128898576,1,"n","n","y","Inc","Neu",1
5,"BLUE","blue","congruent",1,380.473461468,1,"n","y","n","Neu","Inc",1
6,"RED","blue","incongruent",1,416.80320492,1,"n","n","y","Inc","Neu",1
7,"XXXX","blue","neutral",0,431.029825471,1,"n","n","y","Neu","Inc",1
8,"BLUE","blue","congruent",1,433.570593828,1,"n","n","y","Neu","Neu",1
11,"RED","red","congruent",1,550.159894628,1,"n","y","n","Neu","Inc",1
13,"XXXX","red","neutral",1,600.833441829,1,"n","y","y","Neu","Neu",1
14,"XXXX","red","neutral",1,580.821585376,1,"n","y","y","Neu","Neu",1
15,"XXXX","blue","neutral",1,433.593429625,1,"n","y","n","Neu","Neu",1
16,"XXXX","blue","neutral",1,464.294781908,1,"n","y","y","Neu","Neu",1
17,"RED","blue","incongruent",1,433.660133742,1,"n","n","y","Inc","Neu",1
18,"RED","red","congruent",1,500.276582083,1,"n","y","n","Neu","Inc",1
19,"XXXX","blue","neutral",1,400.075177429,1,"n","n","n","Neu","Neu",1
20,"BLUE","blue","congruent",1,383.685177891,1,"n","n","y","Neu","Neu",1
21,"BLUE","blue","congruent",1,433.59703524,1,"n","y","y","Neu","Neu",1
22,"BLUE","blue","congruent",1,350.195169682,1,"n","y","y","Neu","Neu",1
24,"RED","red","congruent",1,466.740001226,1,"n","n","y","Neu","Inc",1
25,"RED","red","congruent",1,466.95754095,1,"n","y","y","Neu","Neu",1
26,"RED","blue","incongruent",1,400.30443552,1,"n","y","n","Inc","Neu",1
27,"RED","blue","incongruent",1,534.222401911,1,"n","y","y","Inc","Inc",1
28,"XXXX","blue","neutral",1,733.517380897,1,"n","n","y","Neu","Inc",1
29,"BLUE","red","incongruent",1,516.973661026,1,"n","n","n","Inc","Neu",1
30,"RED","blue","incongruent",1,700.35518473,1,"n","n","n","Inc","Inc",1
31,"XXXX","blue","neutral",1,500.163906021,1,"n","n","y","Neu","Inc",1
32,"BLUE","red","incongruent",1,466.913071694,1,"n","n","n","Inc","Neu",1
33,"XXXX","red","neutral",1,416.867505526,1,"n","n","y","Neu","Inc",1
